Step,Time(s),FR_contact,FL_contact,RR_contact,RL_contact,FR_force(N),FL_force(N),RR_force(N),RL_force(N)
263,5.26,0,0,0,1,0.0,0.0,0.0,37.786651611328125
264,5.28,0,0,0,1,0.0,0.0,0.0,19.753055572509766
265,5.3,0,0,0,0,0.0,0.0,0.0,0.0
266,5.32,0,0,0,0,0.0,0.0,0.0,0.0
267,5.34,1,0,0,0,133.13795471191406,0.0,0.0,0.0
268,5.36,1,1,0,1,64.25448608398438,62.773841857910156,0.0,171.90386962890625
269,5.38,1,0,0,1,3.066441059112549,0.0,0.0,35.51251983642578
270,5.4,0,0,0,1,0.0,0.0,0.0,64.5980224609375
271,5.42,0,0,0,1,0.0,0.0,0.0,63.849464416503906
272,5.44,0,0,0,0,0.0,0.0,0.0,0.0
273,5.46,0,1,0,0,0.0,133.76800537109375,0.0,0.0
274,5.48,1,1,0,0,50.09122085571289,49.11404037475586,0.0,0.0
275,5.5,1,0,0,0,97.69499206542969,0.0,0.0,0.0
276,5.5200000000000005,1,0,0,1,21.397085189819336,0.0,0.0,65.74502563476562
277,5.54,0,0,0,1,0.0,0.0,0.0,46.466556549072266
278,5.5600000000000005,0,0,0,1,0.0,0.0,0.0,52.0045166015625
279,5.58,0,0,0,0,0.0,0.0,0.0,0.0
280,5.6000000000000005,0,0,0,0,0.0,0.0,0.0,0.0
281,5.62,1,1,0,0,164.26193237304688,21.602201461791992,0.0,0.0
282,5.64,1,0,0,0,93.08489990234375,0.0,0.0,0.0
283,5.66,1,0,0,1,20.599428176879883,0.0,0.0,142.41233825683594
284,5.68,1,0,0,1,9.90149974822998,0.0,0.0,59.262245178222656
285,5.7,0,0,0,1,0.0,0.0,0.0,16.685943603515625
286,5.72,0,0,0,0,0.0,0.0,0.0,0.0
287,5.74,0,1,0,0,0.0,48.56516647338867,0.0,0.0
288,5.76,0,1,0,0,0.0,9.124103546142578,0.0,0.0
289,5.78,1,1,0,0,107.30843353271484,5.601862907409668,0.0,0.0
290,5.8,1,0,0,0,81.78024291992188,0.0,0.0,0.0
291,5.82,1,0,0,1,13.266820907592773,0.0,0.0,46.05046844482422
292,5.84,0,0,0,1,0.0,0.0,0.0,44.59128189086914
293,5.86,0,0,0,0,0.0,0.0,0.0,0.0
294,5.88,0,1,0,0,0.0,90.81318664550781,0.0,0.0
295,5.9,1,1,0,0,98.5838623046875,2.448164463043213,0.0,0.0
296,5.92,1,0,0,1,66.23697662353516,0.0,0.0,103.26194763183594
297,5.94,1,0,0,1,9.10509204864502,0.0,0.0,49.06129455566406
298,5.96,0,0,0,1,0.0,0.0,0.0,26.81300926208496
299,5.98,0,0,0,0,0.0,0.0,0.0,0.0
300,6.0,0,1,0,0,0.0,45.89741516113281,0.0,0.0
301,6.0200000000000005,1,1,0,0,110.89630126953125,14.373394012451172,0.0,0.0
302,6.04,1,0,0,0,70.40190124511719,0.0,0.0,0.0
303,6.0600000000000005,1,0,0,1,3.6104235649108887,0.0,0.0,52.269859313964844
304,6.08,0,0,0,1,0.0,0.0,0.0,50.881553649902344
305,6.1000000000000005,0,0,0,0,0.0,0.0,0.0,0.0
306,6.12,0,1,0,0,0.0,203.38134765625,0.0,0.0
307,6.140000000000001,0,1,0,0,0.0,16.123689651489258,0.0,0.0
308,6.16,1,1,0,0,136.82266235351562,8.521622657775879,0.0,0.0
309,6.18,1,0,0,1,107.79108428955078,0.0,0.0,75.5618896484375
310,6.2,1,0,0,1,8.728157043457031,0.0,0.0,26.487884521484375
311,6.22,1,0,0,0,30.756423950195312,0.0,0.0,0.0
312,6.24,0,0,0,0,0.0,0.0,0.0,0.0
313,6.26,0,1,0,0,0.0,88.91110229492188,0.0,0.0
314,6.28,0,1,0,0,0.0,20.441076278686523,0.0,0.0
315,6.3,1,0,0,1,122.29085540771484,0.0,0.0,130.63539123535156
316,6.32,1,0,0,1,15.0484619140625,0.0,0.0,27.96043586730957
317,6.34,1,0,0,1,46.56207275390625,0.0,0.0,57.80553436279297
318,6.36,0,0,0,0,0.0,0.0,0.0,0.0
319,6.38,0,0,0,0,0.0,0.0,0.0,0.0
320,6.4,0,1,0,0,0.0,35.6107177734375,0.0,0.0
321,6.42,1,1,0,0,133.77330017089844,9.535751342773438,0.0,0.0
322,6.44,1,0,0,0,111.3740234375,0.0,0.0,0.0
323,6.46,1,0,0,1,1.6152806282043457,0.0,0.0,22.92694664001465
324,6.48,1,0,0,1,20.374588012695312,0.0,0.0,62.77092742919922
325,6.5,0,0,0,1,0.0,0.0,0.0,46.40155029296875
326,6.5200000000000005,0,0,0,1,0.0,0.0,0.0,34.7548942565918
327,6.54,0,0,0,0,0.0,0.0,0.0,0.0
328,6.5600000000000005,0,1,0,0,0.0,126.51184844970703,0.0,0.0
329,6.58,0,1,0,0,0.0,1.660407543182373,0.0,0.0
330,6.6000000000000005,1,0,0,0,138.68951416015625,0.0,0.0,0.0
331,6.62,1,0,0,0,109.87289428710938,0.0,0.0,0.0
332,6.640000000000001,1,0,0,1,18.456106185913086,0.0,0.0,42.996826171875
333,6.66,0,0,0,1,0.0,0.0,0.0,81.4671401977539
334,6.68,0,0,0,1,0.0,0.0,0.0,39.33014678955078
335,6.7,0,0,0,1,0.0,0.0,0.0,25.425045013427734
336,6.72,0,0,0,0,0.0,0.0,0.0,0.0
337,6.74,0,0,0,0,0.0,0.0,0.0,0.0
338,6.76,1,0,0,0,225.77027893066406,0.0,0.0,0.0
339,6.78,1,0,0,0,77.08932495117188,0.0,0.0,0.0
340,6.8,1,0,0,1,23.897132873535156,0.0,0.0,151.3927764892578
341,6.82,1,0,0,1,28.0091495513916,0.0,0.0,60.623008728027344
342,6.84,1,0,0,1,17.239200592041016,0.0,0.0,22.860923767089844
343,6.86,0,0,0,1,0.0,0.0,0.0,23.37499237060547
344,6.88,0,0,0,0,0.0,0.0,0.0,0.0
345,6.9,0,1,0,0,0.0,38.288299560546875,0.0,0.0
346,6.92,1,0,0,0,217.13613891601562,0.0,0.0,0.0
347,6.94,1,0,0,0,104.69923400878906,0.0,0.0,0.0
348,6.96,1,0,0,0,69.90645599365234,0.0,0.0,0.0
349,6.98,1,0,0,1,15.480815887451172,0.0,0.0,61.502159118652344
350,7.0,0,0,0,1,0.0,0.0,0.0,56.36088562011719
351,7.0200000000000005,0,0,0,1,0.0,0.0,0.0,21.8529052734375
352,7.04,0,1,0,0,0.0,44.63774871826172,0.0,0.0
353,7.0600000000000005,0,0,0,0,0.0,0.0,0.0,0.0
354,7.08,1,0,0,0,142.63792419433594,0.0,0.0,0.0
355,7.1000000000000005,1,0,0,1,75.55734252929688,0.0,0.0,179.281494140625
356,7.12,1,0,0,1,5.041755676269531,0.0,0.0,41.08081817626953
357,7.140000000000001,1,0,0,1,21.17327117919922,0.0,0.0,29.982227325439453
358,7.16,0,0,0,1,0.0,0.0,0.0,48.4946403503418
359,7.18,0,0,0,0,0.0,0.0,0.0,0.0
360,7.2,0,1,0,0,0.0,285.9510498046875,0.0,0.0
361,7.22,1,1,0,0,132.67425537109375,44.90593719482422,0.0,0.0
362,7.24,1,1,0,0,54.13966369628906,1.8371479511260986,0.0,0.0
363,7.26,1,0,0,0,118.04495239257812,0.0,0.0,0.0
364,7.28,1,0,0,1,15.65786075592041,0.0,0.0,33.36465072631836
365,7.3,0,0,0,1,0.0,0.0,0.0,62.369834899902344
366,7.32,0,0,0,1,0.0,0.0,0.0,34.66918182373047
367,7.34,0,0,0,0,0.0,0.0,0.0,0.0
368,7.36,0,0,0,0,0.0,0.0,0.0,0.0
369,7.38,1,0,0,0,176.75363159179688,0.0,0.0,0.0
370,7.4,1,0,0,0,77.63238525390625,0.0,0.0,0.0
371,7.42,1,0,0,1,5.558056831359863,0.0,0.0,75.46833038330078
372,7.44,0,0,0,1,0.0,0.0,0.0,64.60899353027344
373,7.46,0,0,0,1,0.0,0.0,0.0,38.10615921020508
374,7.48,0,0,0,1,0.0,0.0,0.0,21.010787963867188
375,7.5,0,1,0,0,0.0,83.7553482055664,0.0,0.0
376,7.5200000000000005,0,1,0,0,0.0,52.32024002075195,0.0,0.0
