lateral_hori_stiffness,lateral_verti_stiffness,diagonal_stiffness,total_twist_deg,twist_0_1_deg,twist_1_2_deg
100,5298,1268,68.3315304714008,34.14054181880539,34.1909886525954
100,5298,1487,59.881117654253664,29.914512645423525,29.966605008830147
100,5298,1743,51.35934823204682,25.66729098795895,25.692057244087874
100,5298,2043,43.724707376088,21.855359528047167,21.86934784804083
100,5298,2395,37.15986071327969,18.57440259668699,18.5854581165927
100,5298,2807,31.612469588641645,15.800814264029796,15.811655324611849
100,5298,3290,26.9290151596741,13.458774479005722,13.470240680668377
100,5298,3856,22.969504973737735,11.478577147047671,11.490927826690063
100,5298,4520,19.608620821731584,9.797658348750447,9.810962472981137
100,5298,5298,16.751198131521985,8.368477073801483,8.3827210577205
100,5298,6210,14.31448266290259,7.149653564536552,7.164829098366038
100,5298,7278,12.234447916789495,6.109181293506069,6.1252666232834265
100,5298,8531,10.453334892900374,5.218189625407676,5.235145267492699
100,5298,10000,8.928409161642692,4.455320195111706,4.4730889665309865
100,6210,100,71.29029046574203,34.7642231270314,36.52606733871064
100,6210,117,71.23152349190627,34.71524650269747,36.51627698920881
100,6210,137,71.12418007084713,34.63387153810364,36.49030853274349
100,6210,161,70.53556913330638,34.2100545375913,36.32551459571509
100,6210,188,70.1381031338855,34.09817104358719,36.0399320902983
100,6210,221,69.81306819961212,34.19303113594674,35.620037063665386
100,6210,259,69.57655687141698,34.24217205170992,35.334384819707076
100,6210,303,69.4031960871384,34.268456854951495,35.1347392321869
100,6210,356,69.26554828767522,34.279479491926864,34.98606879574836
100,6210,417,69.1531071561823,34.274383874540035,34.87872328164226
100,6210,489,69.04596222979457,34.25699408597239,34.78896814382218
100,6210,573,68.93764096603982,34.2333308579501,34.704310108089715
100,6210,672,68.82048762385945,34.235106384340185,34.585381239519265
100,6210,788,68.70161884896677,34.225009471110056,34.47660937785672
100,6210,923,68.64080125703545,34.237897146667976,34.40290411036747
100,6210,1082,68.55353644261436,34.23308367609148,34.32045276652288
100,6210,1268,67.22526914837859,33.58744875685099,33.6378203915276
100,6210,1487,58.873838540979236,29.417391001649953,29.456447539329286
100,6210,1743,50.63802454296083,25.31043051494813,25.327594028012697
100,6210,2043,43.209547226381616,21.600319635869624,21.60922759051199
100,6210,2395,36.783017468345236,18.388067975699318,18.394949492645917
100,6210,2807,31.329305962812974,15.661198040674165,15.66810792213881
100,6210,3290,26.712300847008716,13.352382660727615,13.359918186281101
100,6210,3856,22.802250655701794,11.396984037492324,11.40526661820947
100,6210,4520,19.479697063232567,9.735325956017702,9.744371107214866
100,6210,5298,16.652722396386164,8.321478608581549,8.331243787804615
100,6210,6210,14.240494797894133,7.1150196466651865,7.125475151228947
